목록,게시글번호,제목,작성자,작성일,가격,조회수,판매여부,롱고니,버팔로,인빗큐
1,749543,인피니티 뉴욕에디션 판매합니다,msi2705,2021-02-04 18:34:52,980000,0,True,False,False,False
2,749542,무사시 하기8검 324-48,kmg6893,2021-02-04 18:32:13,5500000,28,True,False,False,False
3,749540,22L 하대,twinskil,2021-02-04 18:29:58,450000,28,True,False,False,False
4,749539,레인보우흑단+아담12맥스 분양,gusals355,2021-02-04 18:26:44,1800000,35,True,False,False,False
5,749537,아담 12맥스 검링 8맥스 검링,ckdrbs011,2021-02-04 18:23:48,330000,19,True,False,False,False
6,749536,신림동 레인보우 상대 팝니다,sl1att,2021-02-04 18:21:36,180000,28,True,False,False,False
7,749534,아담 12max(거의 새거),twinskil,2021-02-04 18:19:13,400000,29,True,False,False,False
8,749533,아담 뮤겐,pcy6723,2021-02-04 18:17:17,650000,39,True,False,False,False
9,749531,보이스카웃 조인트 10산,buzsp,2021-02-04 18:15:56,50000,36,True,False,False,False
10,749530,한밭 레인보우 하대팝니다(105만원),garden0077,2021-02-04 18:15:29,1050000,80,True,False,False,False
11,749529,"롱고니 익스텐션키트, 쿠드롱 줄판 팝니다.",mkj71855,2021-02-04 18:15:07,45000,29,True,True,False,False
12,749528,"S30K69, TK-12 둘 다 레디얼입니다.",wanghon,2021-02-04 18:15:05,360000,22,True,False,False,False
13,749526,아담 12맥 프로악스 노멀,ckdrbs011,2021-02-04 18:11:16,300000,32,True,False,False,False
14,749524,롱고니  레이오브나이트 VP2 19년식  상대2자루 A급 팝니다.,jbj3065,2021-02-04 18:10:57,1300000,41,True,True,False,False
15,749518,아담12맥스래디얼(판매및)교환합니다,oxoxqq74,2021-02-04 18:04:02,420000,35,True,False,False,False
16,749517,마에스트로 쉐도우버드레드상대 팝니다(신품),madguy525,2021-02-04 18:03:52,670000,48,True,False,False,False
17,749516,에이블 아큐라 코어 통상대 판매합니다.,k1tank0624,2021-02-04 18:02:12,110000,23,True,False,False,False
18,749515,마에스트로 에보니 팝니다,vovguswls815,2021-02-04 18:01:59,2700000,65,True,False,False,False
19,749514,스트록 연습 및 3팁 연습용 트윈 하드볼 판매합니다,trombone77,2021-02-04 17:59:11,70000,65,True,False,False,False
20,749513,제스트 레드 스트레이트 판매합니다.,k1tank0624,2021-02-04 17:59:04,380000,39,True,False,False,False
21,749543,인피니티 뉴욕에디션 판매합니다,msi2705,2021-02-04 18:34:52,980000,0,True,False,False,False
22,749542,무사시 하기8검 324-48,kmg6893,2021-02-04 18:32:13,5500000,28,True,False,False,False
23,749540,22L 하대,twinskil,2021-02-04 18:29:58,450000,28,True,False,False,False
24,749539,레인보우흑단+아담12맥스 분양,gusals355,2021-02-04 18:26:44,1800000,35,True,False,False,False
25,749537,아담 12맥스 검링 8맥스 검링,ckdrbs011,2021-02-04 18:23:48,330000,19,True,False,False,False
26,749536,신림동 레인보우 상대 팝니다,sl1att,2021-02-04 18:21:36,180000,28,True,False,False,False
27,749534,아담 12max(거의 새거),twinskil,2021-02-04 18:19:13,400000,29,True,False,False,False
28,749533,아담 뮤겐,pcy6723,2021-02-04 18:17:17,650000,39,True,False,False,False
29,749531,보이스카웃 조인트 10산,buzsp,2021-02-04 18:15:56,50000,36,True,False,False,False
30,749530,한밭 레인보우 하대팝니다(105만원),garden0077,2021-02-04 18:15:29,1050000,80,True,False,False,False
31,749529,"롱고니 익스텐션키트, 쿠드롱 줄판 팝니다.",mkj71855,2021-02-04 18:15:07,45000,29,True,True,False,False
32,749528,"S30K69, TK-12 둘 다 레디얼입니다.",wanghon,2021-02-04 18:15:05,360000,22,True,False,False,False
33,749526,아담 12맥 프로악스 노멀,ckdrbs011,2021-02-04 18:11:16,300000,32,True,False,False,False
34,749524,롱고니  레이오브나이트 VP2 19년식  상대2자루 A급 팝니다.,jbj3065,2021-02-04 18:10:57,1300000,41,True,True,False,False
35,749518,아담12맥스래디얼(판매및)교환합니다,oxoxqq74,2021-02-04 18:04:02,420000,35,True,False,False,False
36,749517,마에스트로 쉐도우버드레드상대 팝니다(신품),madguy525,2021-02-04 18:03:52,670000,48,True,False,False,False
37,749516,에이블 아큐라 코어 통상대 판매합니다.,k1tank0624,2021-02-04 18:02:12,110000,23,True,False,False,False
38,749515,마에스트로 에보니 팝니다,vovguswls815,2021-02-04 18:01:59,2700000,65,True,False,False,False
39,749514,스트록 연습 및 3팁 연습용 트윈 하드볼 판매합니다,trombone77,2021-02-04 17:59:11,70000,65,True,False,False,False
40,749513,제스트 레드 스트레이트 판매합니다.,k1tank0624,2021-02-04 17:59:04,380000,39,True,False,False,False
41,749511,"(급매)18년식 한밭10 컬러플 버드아이 상하대(보증서0,가방0,써비스0)",foome76,2021-02-04 17:57:34,750000,110,True,False,False,False
42,749510,jbs3달사용cpro10 상대 15일사용한cs컬리상대 일괄 정리,kimargan,2021-02-04 17:54:25,530000,27,True,False,False,False
43,749504,가격인하)에이블 pro18s .아큐라 12쪽코어상대조합 팝니다,kangkap18,2021-02-04 17:48:50,1000000,28,True,False,False,False
44,749502,에이블 아큐라   코어 10산 상대(킹블랙m팁) *가격수정* 11만원 급매,62vhqud,2021-02-04 17:47:52,110000,15,True,False,False,False
45,749501,블루나이트 팝니다 ,myybk3285,2021-02-04 17:47:46,530000,93,True,False,False,False
46,749500,12맥스 10산 블랙링 31만 팝니다.,trombone77,2021-02-04 17:47:26,310000,33,True,False,False,False
47,749498,레인보우 스네이크 판매합니다.,cjh8318,2021-02-04 17:45:44,1900000,98,True,False,False,False
48,749494,☆☆한밭 마에스트로 마에 컬리 레드상대 판매(신품급)☆☆,korahn19,2021-02-04 17:40:32,550000,138,False,False,False,False
49,749493,롱고니 S30k69 (vp2) 판매 및 교환,tlsry1gh,2021-02-04 17:37:33,280000,54,True,True,False,False
50,749490,블맘 수제상대팝니다,yum_aa,2021-02-04 17:26:34,500000,37,True,False,False,False
51,749485,한밭 22-L 교환!!,sexy4516,2021-02-04 17:16:04,12345,126,True,False,False,False
52,749483,한밭 플러스파이브(플러스5)하대 팝니다,baekdaehyun,2021-02-04 17:11:39,250000,174,True,False,False,False
53,749482,헬릭스당구공 판매합니다,jwj2942,2021-02-04 17:11:11,60000,182,False,False,False,False
54,749480,고리나코코하대,oriduck11,2021-02-04 17:08:33,300000,55,True,False,False,False
55,749479,아라미스 61.5mm 3구공 팝니다,cybersun81,2021-02-04 17:07:54,80000,55,True,False,False,False
56,749478,산체스H팁 판매합니다.,sexysh5,2021-02-04 17:07:41,36000,64,True,False,False,False
57,749475,[인천] 아담 버터  jc1801 12MAX 조합,sksrnwkgjs,2021-02-04 17:06:05,1300000,93,True,False,False,False
58,749473,몰리나리 허큐 (버건디) 급 판매합니다~,livelloll,2021-02-04 17:03:05,1200000,170,True,False,False,False
59,749472,[대리판매] [가격인하]                                       롱고니 술탄 풀셋 판매합니다.,ojkwon84,2021-02-04 16:57:19,1450000,160,True,True,False,False
60,749471,에이블 V6하대악스상대,1031sgk,2021-02-04 16:52:00,400000,97,True,False,False,False
61,749470,명우큐 판매 합니다~~~,citykansas,2021-02-04 16:49:54,2800000,174,True,False,False,False
62,749467,jbs 재규어 mcj (쵸클루1) 판매나 교환 합니다,slswk76,2021-02-04 16:46:38,700000,47,True,False,False,False
63,749466,프레데터 익스텐션,yxli0102,2021-02-04 16:45:55,100000,44,True,False,False,False
64,749458,롱고니 컬렉션  신동품 팝니다,florist106,2021-02-04 16:40:56,5500000,174,True,True,False,False
65,749456,한솔 명작 목조인트 팝니다,choitae1010,2021-02-04 16:39:09,1500000,161,True,False,False,False
66,749454,마에 컬리 블루 상대 팝니다,dodot12,2021-02-04 16:38:28,500000,114,True,False,False,False
67,749453,루나네라 E71 vp2 새제품 판매합니다.,ing5994,2021-02-04 16:36:34,2000,191,True,False,False,False
